Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem,IDCatAdicional1,IDCatAdicional2,IDCatAdicional3,IDCatAdicional4,IDCatAdicional5,GoogleProductCategory
"A","Produtos",8898586,"7239","COMANDO HIDRÁULICO DO CONTROLE DO GIRO",14.32,"COMANDO HIDRÁULICO DO CONTROLE DO GIRO","COMANDO HIDRÁULICO DO CONTROLE DO GIRO - PN: 10100170","",False,2,0,True,0,0,797.56,0,0,0,,,False,False,"","","","","","","","","","",0,,,"",,0,0,,"","",0,0,"",False,False,29,30,9,"","10100170","","","","","1179693",,,,,,0
"A","Produtos",8898569,"1820","DEFLETOR DE AR DIREITO - SINOTRUK A7",3,"DEFLETOR DE AR DIREITO - SINOTRUK A7","DEFLETOR DE AR DIREITO - SINOTRUK A7 - PN: WG1664110052","",False,1,0,True,0,0,671.16,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,35,115,15,"","WG1664110052","","","","","1179689",,,,,,0
"A","Produtos",8898568,"1821","DEFLETOR DE AR ESQUERDO - SINOTRUK A7",3,"DEFLETOR DE AR ESQUERDO - SINOTRUK A7","DEFLETOR DE AR ESQUERDO - SINOTRUK A7 - PN: WG1664110051","",False,4,0,True,0,0,727.67,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,35,115,15,"","WG1664110051","","","","","1179689",,,,,,0
"A","Produtos",8898574,"1746","FAROL DE MILHA DIREITO - SINOTRUK HOWO 380",1.28,"FAROL DE MILHA DIREITO - SINOTRUK HOWO 380","FAROL DE MILHA DIREITO - SINOTRUK HOWO 380 - PN: WG9719720025","",False,10,0,True,0,0,328.48,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,25,25,30,"","WG9719720025","","","","","1179689",,,,,,0
"A","Produtos",8898576,"1745","FAROL DE MILHA INTERNO DO FAROL - SINOTRUK A7",0.32,"FAROL DE MILHA INTERNO DO FAROL - SINOTRUK A7","FAROL DE MILHA INTERNO DO FAROL - SINOTRUK A7 - PN: WG9725720001","",False,270,0,True,0,0,245.99,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,13,13,13,"","WG9725720001","","","","","1179689",,,,,,0
"A","Produtos",8898591,"7181","FAROL DIANTEIRO - XCMG ZL30G",1.8,"FAROL DIANTEIRO - XCMG ZL30G","FAROL DIANTEIRO - XCMG ZL30G - PN: 5001381","",False,90,0,True,0,0,797.23,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,18,36,20,"","5001381","","","","","1179693",,,,,,0
"A","Produtos",8898584,"1254","FILTRO DE ÓLEO - WEICHAI D12.34 EURO V",0.94,"FILTRO DE ÓLEO - WEICHAI D12.34 EURO V","FILTRO DE ÓLEO - WEICHAI D12.34 EURO V - PN: VG1246070031","",False,1,0,True,0,0,100.96,0,0,0,,,False,False,"","","","","","","","","","",0,,,"",,0,0,,"","",0,0,"",False,False,12,12,20,"","VG1246070031","","","","","1179692",,,,,,0
"A","Produtos",8898579,"1639","FILTRO SECADOR DE AR - WABCO",1.88,"FILTRO SECADOR DE AR - WABCO","FILTRO SECADOR DE AR - WABCO - PN: SAD-3588201","",False,646,0,True,0,0,65.52,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,14,14,17,"","SAD-3588201","","","","","1179691",,,,,,0
"A","Produtos",8898559,"1175","FILTRO SEPARADOR DE ÁGUA",1.16,"FILTRO SEPARADOR DE ÁGUA","FILTRO SEPARADOR DE ÁGUA - PN: VG1540080311","",False,4,0,True,0,0,151.55,0,0,0,,,False,False,"","","","","","","","","","",0,,,"",,0,0,,"","",0,0,"",False,False,15,35,15,"","VG1540080311","","","","","1179688",,,,,,0
"A","Produtos",8898563,"1829","GANCHO DE REBOQUE COMPLETO - SINOTRUK A7",3.9,"GANCHO DE REBOQUE COMPLETO - SINOTRUK A7","GANCHO DE REBOQUE COMPLETO - SINOTRUK A7 - PN: AZ9925930036","",False,2,0,True,0,0,529.34,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,14,26,6,"","AZ9925930036","","","","","1179689",,,,,,0
"A","Produtos",8898593,"7530","JOYSTICK HIDRÁULICO ESQUERDO",2.7,"JOYSTICK HIDRÁULICO ESQUERDO","JOYSTICK HIDRÁULICO ESQUERDO - PN: 20100418","",False,2,0,True,0,0,3825.96,0,0,0,,,False,False,"7530.png","7530.png","","","","","","","","",0,,,"",,0,0,,"","",0,0,"",False,False,32,23,46,"","20100418","","","","","1179693",,,,,,0
"A","Produtos",8898575,"1757","LANTERNA DE TETO DO LADO ESQUERDO - SINOTRUK HOWO 380",0.1,"LANTERNA DE TETO DO LADO ESQUERDO - SINOTRUK HOWO 380","LANTERNA DE TETO DO LADO ESQUERDO - SINOTRUK HOWO 380 - PN: WG9719790005","",False,1,0,True,0,0,68.29,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,10,10,10,"","WG9719790005","","","","","1179689",,,,,,0
"A","Produtos",8898572,"1755","LANTERNA LATERAL DO CAMINHÃƒO - SINOTRUK HOWO 380",0.07,"LANTERNA LATERAL DO CAMINHÃƒO - SINOTRUK HOWO 380","LANTERNA LATERAL DO CAMINHÃƒO - SINOTRUK HOWO 380 - PN: WG9100720012","",False,2,0,True,0,0,85.41,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,7,12,7,"","WG9100720012","","","","","1179689",,,,,,0
"A","Produtos",8898573,"1762","MANGUEIRA DO INTERCOOLER CURVA 6 GOMOS - SINOTRUK HOWO 380",1.06,"MANGUEIRA DO INTERCOOLER CURVA 6 GOMOS - SINOTRUK HOWO 380","MANGUEIRA DO INTERCOOLER CURVA 6 GOMOS - SINOTRUK HOWO 380 - PN: WG9719530318","",False,3,0,True,0,0,143.07,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,30,30,10,"","WG9719530318","","","","","1179689",,,,,,0
"A","Produtos",8898580,"1085","MOTOR DE PARTIDA (11 DENTES / 24V)",10.25,"MOTOR DE PARTIDA (11 DENTES / 24V)","MOTOR DE PARTIDA (11 DENTES / 24V) - PN: 612600090293","",False,1,0,True,0,0,2261.43,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,25,40,25,"","612600090293","","","","","1179692",,,,,,0
"A","Produtos",8898556,"1435","MOTOR DE PARTIDA (12 DENTES / 24V) - CUMMINS",13.44,"MOTOR DE PARTIDA (12 DENTES / 24V) - CUMMINS","MOTOR DE PARTIDA (12 DENTES / 24V) - CUMMINS - PN: C3415538","",False,3,0,True,0,0,2403.9,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,25,44,20,"","C3415538","","","","","1179686",,,,,,0
